id,name,gender,member_since,year_of_birth,place_of_birth,genres
385,Nevil Shute,male,June 2 2016,1992,Kenya,Science Fiction$Fiction
386,Chris Dietzel,male,June 2 2019,1993,Yemen,Dystopian
387,Diana Norman,female,April 22 2013,1995,Kuwait,Historical$Thriller
388,Wallace Stevens,male,September 2 2017,1950,Hungary,Poetry$Essays
389,Frederic C. Rich,male,December 28 2014,1956,Dominica,Science Fiction
390,E.M. Forster,male,August 13 2017,1965,Tunisia,Science Fiction$Essays
391,Phillip W. Simpson,male,October 8 2017,1997,Mexico,Young Adult
392,Rennie Airth,male,March 19 2010,1985,Grenada,Fiction$Thriller
393,Daniel José Older,male,August 14 2015,1964,Germany,Fantasy
394,Barbara Vine,female,February 2 2015,1980,Myanmar,Thriller
395,Devney Perry,female,June 3 2011,1956,Emirate,Romance
396,Jim Benton,male,September 7 2016,1972,Iraq,Arts Photography
397,Tish Thawer,female,July 12 2015,1995,Peru,Romance
398,Mark Twain,male,December 17 2013,1985,Barbados,Fiction$Short Stories
399,Tanya Eavenson,female,March 15 2016,1992,Vietnam,Christian Fiction
400,Alex J. Cavanaugh,male,December 25 2009,1952,Antigua,Science Fiction
401,Melissa Petreshock,female,May 8 2013,1982,Tuvalu,Fantasy$Romance
402,Salman Aditya,male,December 11 2017,1964,Malaysia,Humor
403,James Dickey,male,June 13 2013,1953,Tanzania,Fiction$Poetry
404,Emma Trevayne,male,June 7 2009,1950,Papua,Science Fiction
405,Marissa Moss,male,May 22 2010,1971,Canada,Children S Books
406,Maureen Johnson,female,March 16 2016,1992,Bosnia,Fiction
407,Anne Rice,female,March 5 2019,1963,Turkmenistan,Horror
408,Jessica Brockmole,male,September 6 2008,1981,Zambia,Historical
409,Lisa M. Harley,male,June 15 2017,1997,Bosnia,Romance
410,Emmuska Orczy,female,January 3 2018,1986,Vanuatu,Fiction
411,K.C. Hilton,female,January 1 2009,1959,Macedonia,Historical
412,Else Holmelund Minarik,female,August 2 2011,1977,Moldova,Children S Books
413,Elizabeth Strout,female,March 27 2011,1969,Germany,Fiction
414,Kiera Cass,male,January 19 2011,1970,British,Young Adult
415,Jennifer Rush,female,December 24 2010,1954,Niger,Young Adult
416,Laura Kinsale,female,March 17 2011,1963,Turkey,Romance$Historical
417,Ashley Jade,male,December 16 2010,1973,Azerbaijan,Romance$Erotica
418,Katie de Long,male,July 27 2012,1977,Vatican,Romance
419,Angela  Graham,male,November 28 2010,1988,San Marino,Romance$Contemporary
420,Heinrich Harrer,male,November 1 2017,1950,Madagascar,Biography$Travel
421,Jay Kristoff,male,September 8 2018,1974,Syria,Science Fiction
422,Lynne   Kelly,female,January 21 2017,1980,Zimbabwe,Children S Books
423,Cath Crowley,male,August 14 2009,1998,Iran,Young Adult
424,Nancy Garden,female,December 5 2019,1985,Czech,Young Adult$Children S Books
425,Anton Szandor LaVey,male,November 5 2019,1951,Kyrgyzstan,Religion Spirituality
426,Carrie Vaughn,female,February 3 2010,1989,Emirate,Science Fiction$Thriller
427,Penelope Fletcher,female,January 22 2007,1997,Namibia,Science Fiction
428,Michelle Warren,female,April 27 2014,1983,Bosnia,Young Adult
429,Nicholas Eames,male,January 10 2012,1967,St Kitts,Fantasy
430,Maggie Stiefvater,female,December 6 2016,1955,Nepal,Young Adult
431,Nicola Haken,male,March 13 2018,1990,St Kitts,Romance
432,Ilsa Madden-Mills,female,March 1 2013,1965,Venezuela,Ebooks
433,S.L. Jennings,female,September 2 2013,1955,Herzegovina,Contemporary
434,Courtney Allison Moulton,female,November 22 2017,1971,Uruguay,Young Adult
435,Yōko Ogawa,female,March 21 2018,1998,Grenadines,Contemporary$Science Fiction
436,James Fenimore Cooper,male,July 21 2015,1972,Uganda,Science Fiction$Historical
437,Whitney Gardner,female,January 3 2012,1980,England,Young Adult
438,Angela Carter,female,April 2 2008,1987,Tajikistan,Science Fiction
439,Anastasia Hopcus,male,December 18 2008,1999,Mexico,Young Adult$Science Fiction
440,Caroline Knapp,female,April 24 2009,1984,Denmark,Nonfiction
441,René Zografos,male,August 26 2016,1962,Trinidad,Fiction
442,Norman L. Geisler,male,February 3 2017,1964,Mozambique,Religion Spirituality
443,Catherynne M. Valente,female,December 1 2008,1950,Ivory Coast,Fiction
444,Robert Lynn Asprin,male,December 5 2009,1986,Ghana,Science Fiction
445,Phyllis T. Smith,male,July 27 2018,1973,Norway,Historical
446,Alan Furst,male,December 13 2015,1960,Austria,Thriller$Historical
447,Shashi Tharoor,male,April 4 2009,1984,Morocco,Fiction
448,Carson McCullers,female,September 15 2019,1978,Micronesia,Science Fiction$Poetry$Tragicomedy
449,Dashka Slater,female,July 8 2013,1986,Armenia,Children S Books
450,Jami Alden,female,January 6 2017,1967,Ivory Coast,Fiction$Romance$Thriller
451,M.G. Wells,female,May 23 2011,1978,Morocco,Fantasy
452,Jacqueline Winspear,female,December 23 2018,1956,Spain,Thriller
453,Jessica James,female,November 17 2016,1987,Burkina,Suspense$Historical
454,Rick Chiantaretto,male,October 5 2018,1980,El Salvador,Suspense
455,Jeff Kinney,male,January 11 2014,1998,Antigua,Children S Books
456,Kaylene Johnson,male,October 22 2014,1988,Singapore,Biographies Memoirs$Outdoors Nature
457,Lila Dare,female,February 27 2009,1953,Nigeria,Thriller
458,K.M. Shea,female,October 3 2019,1991,Austria,Fantasy
459,Jess Walter,male,May 16 2013,1957,Sierra Leone,Fiction$Thriller
460,Conor Kostick,male,August 23 2012,1971,Bulgaria,Science Fiction
461,Amanda Downum,male,March 13 2014,1970,Madagascar,Science Fiction
462,Dan Chaon,male,August 13 2011,1977,Ecuador,Fiction$Short Stories
463,Alyloony,female,May 7 2013,1970,Korea,Young Adult
464,Amalie Howard,female,April 6 2013,1969,Niger,Young Adult
465,Julie Cross,female,August 10 2009,1990,Portugal,New Adult
466,Johan Harstad,male,September 2 2008,1953,Tobago,Fiction
467,Julie Johnstone,male,November 19 2010,1972,Holland,Romance
468,Julia Quinn,female,October 21 2019,1981,Indonesia,Romance$Historical
469,Vasily Mahanenko,male,October 22 2018,1986,Marshall,Litrpg$Fantasy
470,Tara A. Fuller,male,July 23 2014,1963,Algeria,Romance
471,Stacey Nash,female,April 26 2009,1970,Mauritius,Young Adult
472,Christina Mobley,female,June 8 2015,1980,Congo,Young Adult
473,Jeri Smith-Ready,female,October 6 2015,1983,Bhutan,Young Adult
474,Sherrie Henry,male,June 5 2013,1989,Ghana,Young Adult
475,Jon Ronson,male,April 9 2018,1988,Norway,Journalism
476,Evangeline Anderson,female,June 7 2007,1952,Myanmar,Romance
477,Sarah J. Maas,female,April 3 2014,1997,Malaysia,Young Adult
478,Karin Tabke,female,August 20 2016,1959,Libya,Romance
479,Louise Fitzhugh,female,November 17 2019,1956,Tuvalu,Children S Books
480,Snorri Sturluson,male,November 1 2019,1979,St Kitts,History$Poetry
481,Vicki Myron,male,February 25 2009,1956,Tanzania,Nonfiction
482,Sandra Byrd,female,July 12 2010,1993,Haiti,Historical
483,Carol K. Carr,female,December 28 2011,1970,Bissau,Historical$Thriller
484,Elizabeth Haydon,male,May 22 2010,1997,Djibouti,Science Fiction
485,Melonie Johnson,female,December 11 2009,1985,Indonesia,Romance
486,Emma Donoghue,female,October 3 2018,1978,Chad,Fiction
487,Ann Cleeves,female,October 15 2015,1967,Indonesia,Crime
488,Jim Gaffigan,male,August 26 2018,1987,San Marino,Humor
489,Jacky Hyams,male,July 13 2017,1978,Thailand,Memoir
490,Tamora Pierce,male,February 4 2007,1995,Italy,Science Fiction$Children S Books
491,Catherine Christian,female,April 19 2014,1984,Andorra,Children S Books$Science Fiction
492,Amy Rose Capetta,female,November 16 2013,1952,Bosnia,Young Adult
493,Barb Hendee,male,June 5 2008,1989,Qatar,Science Fiction
494,A.J. Pine,female,October 16 2012,1987,Guatemala,Romance
495,Mikhail Bulgakov,male,August 11 2011,1959,Iraq,Science Fiction$Short Stories$Memoir
496,Stylo Fantome,male,April 21 2014,1991,Solomon,Science Fiction
497,Kristin Halbrook,female,March 27 2016,1955,Scotland,Young Adult
498,Melissa Turner Lee,male,February 10 2010,1985,Syria,Young Adult
499,M.  Robinson,male,June 15 2013,1974,Malaysia,Romance
500,Eileen Wilks,female,August 28 2007,1970,Bulgaria,Science Fiction$Romance
501,Ben Peller,male,December 18 2018,1993,Oman,Humor$Entertainment
502,Rebecca A. Rogers,female,May 27 2016,1988,Brunei,Fantasy
503,Ashley Poston,female,February 10 2013,1959,Italy,Young Adult
504,Allison Hawn,female,November 13 2014,1984,Mexico,Humor
505,Kimberly Karalius,female,July 9 2014,1966,Japan,Young Adult
506,M.  Clarke,female,July 15 2007,1986,England,Romance$Chick Lit$Contemporary
507,T.S. Krupa,female,November 16 2011,1976,Maldives,Romance
508,Caroline Kraus,male,May 7 2012,1971,Greece,Biographies Memoirs
509,Michelle Zink,male,December 4 2012,1984,Slovakia,Young Adult
510,Meša Selimović,male,June 2 2007,1993,Tobago,Fiction$Religion Spirituality
511,John Kennedy Toole,male,September 22 2009,1962,Pakistan,Science Fiction
512,Kimberly Joy Villanueva,female,January 3 2013,1961,Burundi,Young Adult
513,Jennifer Castle,female,March 14 2019,1992,St Lucia,Young Adult
514,T.K. Leigh,female,December 17 2011,1967,Thailand,Contemporary
515,Will Cuppy,male,November 23 2013,1976,New Zealand,Humor$History$Zoology
516,Sophie McKenzie,male,March 7 2011,1955,San Marino,Thriller
517,Elizabeth Hoyt,male,April 13 2011,1985,Ethiopia,Romance
518,L.A. Fiore,male,February 22 2009,1992,South Africa,Romance
519,Beth Wiseman,female,February 16 2009,1974,Montenegro,Romance
520,Rachel Hartman,female,April 22 2010,1973,Belgium,Young Adult$Science Fiction
521,Brett J. Talley,male,October 2 2011,1995,Tunisia,Horror
522,Algernon Blackwood,male,June 22 2012,1973,Netherlands,Horror$Short Stories$Fiction
523,Sylvia Brownrigg,female,July 25 2013,1955,Bissau,Science Fiction
524,Kelly Keaton,female,February 15 2018,1997,Cuba,Young Adult$Science Fiction
525,David Seltzer,male,January 24 2015,1968,Afghanistan,Horror$Science Fiction$Fantasy
526,Ree Drummond,female,April 23 2016,1958,USA,Cooking Food Wine$Romance
527,James Faro,male,January 27 2016,1975,Algeria,Historical
528,Henry Gray,male,September 14 2007,1961,America,Science Fiction
529,Euclid,male,March 7 2011,1994,Jordan,Mathematics
530,Mazarkis Williams,male,April 18 2009,1959,Philippines,Science Fiction
531,Gennifer Albin,female,March 11 2009,1989,Sweden,Young Adult
532,Laurell K. Hamilton,female,March 4 2008,1956,Algeria,Science Fiction
533,Dan  Allen,male,May 17 2007,1977,Lesotho,Fantasy
534,Josh McDowell,male,May 4 2014,1963,Brunei,Religion Spirituality
535,Kerri Maniscalco,female,January 14 2010,1972,Kyrgyzstan,Young Adult
536,Lisa Gillis,female,July 4 2012,1999,Serbia,Contemporary
537,David Nicholls,male,September 21 2011,1991,Singapore,Fiction
538,James Frey,male,June 9 2019,1993,Paraguay,Biographies Memoirs$Science Fiction
539,Amy Plum,female,April 9 2008,1975,Nauru,Young Adult
540,Cait Jarrod,male,November 1 2008,1987,Ecuador,Romance
541,C.S. Harris,female,December 8 2018,1957,Switzerland,Thriller$Historical
542,Daniel Clowes,male,March 8 2012,1962,Kuwait,Comics Graphic Novels
543,Yvonne Ventresca,female,May 20 2016,1971,Czech,Young Adult
544,Patricia H. Graham,female,July 1 2015,1983,Luxembourg,Fiction
545,Blaize Clement,female,August 16 2007,1986,Nauru,Thriller
546,Sophie Jordan,female,July 5 2008,1990,Argentina,Romance$Young Adult
547,Chelsea Fine,male,December 8 2009,1977,Moldova,New Adult
548,Susan Fanetti,female,August 4 2011,1962,Belize,Romance
549,Ruth Prawer Jhabvala,female,February 2 2015,1975,Ethiopia,Fiction$History$Entertainment
550,Gordon B. Hinckley,male,December 4 2008,1965,Denmark,Religion Spirituality
551,Timothy Egan,male,August 13 2011,1985,Romania,History
552,Belinda Burke,male,July 23 2012,1952,Israel,Fantasy$Romance
553,John Berendt,male,April 3 2008,1955,Malawi,Fiction
554,Joan He,female,January 4 2019,1967,Germany,Young Adult
555,Jill Thompson,female,April 14 2015,1961,Kosovo,Comics Graphic Novels$Children S Books
556,Karen      Rose,female,May 24 2008,1962,India,Suspense
557,M.T. Vasudevan Nair,male,August 21 2008,1980,Peru,Science Fiction$Children S$Fiction
558,Robert Wright,male,February 24 2009,1985,Antigua,Nonfiction$Science Fiction
559,Julietta Suzuki,female,March 1 2018,1952,Nauru,Manga
560,Patti Smith,female,November 3 2015,1954,Suriname,Poetry$Memoir
561,Lisa Renee Jones,female,April 13 2008,1957,Bahamas,Romance
562,Melissa Perea,male,August 14 2008,1957,Burkina,Young Adult
563,Al Franken,male,May 13 2008,1988,Kenya,Nonfiction
564,Khalid Muhammad,male,February 28 2015,1986,Gabon,Thriller
565,Angel Sefer,female,March 6 2007,1964,Antigua,Mystery
566,Kasia James,male,January 21 2010,1984,Ecuador,Science Fiction$Short Stories
567,Jack Brighton,male,September 25 2007,1979,Djibouti,Gay Lesbian
568,Isak Dinesen,female,June 15 2008,1967,Hungary,Science Fiction$Memoir
569,J.A. Saare,female,May 16 2013,1972,Bangladesh,Horror
570,John Fowles,male,April 27 2016,1993,Tajikistan,Fiction
571,Mary Ting,female,September 2 2010,1997,Norway,Young Adult
572,Anna Lee Waldo,female,April 2 2011,1967,Guinea,Historical
573,Samantha Shannon,male,May 16 2018,1984,Mauritius,Science Fiction
574,Ellen Oh,male,January 4 2014,1962,Botswana,Young Adult
575,Keith Ferrazzi,male,December 11 2011,1952,Gabon,Business
576,Paul Kalanithi,male,September 26 2007,1987,Belarus,Fiction$Memoir
577,Masara Minase,male,June 1 2011,1986,Costa Rica,Manga$Bl$Yaoi
578,Tijan,male,November 22 2016,1952,South Africa,Science Fiction
579,Mario Puzo,male,May 20 2009,1997,India,Fiction$Classics
580,River Jaymes,male,June 28 2010,1993,Burkina,Gay And Lesbian
581,Malcolm X,male,March 22 2015,1968,Rwanda,Nonfiction$Biographies Memoirs
582,Toni Mount,male,July 7 2008,1961,Belarus,History
583,Emily Albright,female,December 7 2019,1983,Liberia,Young Adult
584,Ania Ahlborn,female,December 12 2013,1951,Ghana,Horror
585,Kelly deVos,female,April 21 2010,1964,Brazil,Young Adult
586,Robert Sobel,male,March 11 2009,1983,Netherlands,Business$History$Science Fiction
587,Jill Shalvis,female,May 4 2008,1977,Guinea,Romance
588,Aubrey Rose,female,May 17 2014,1996,Panama,Romance
589,Jessica Sorensen,female,October 15 2012,1953,Honduras,Young Adult
590,Arnold Lobel,male,January 28 2010,1978,Bahrain,Children S Books
591,David K. Saunders,male,July 9 2010,1969,Georgia,History$Historical
592,Al Gore,male,August 3 2011,1956,Burma,Fiction
593,Earlene Fowler,female,June 17 2019,1993,Ghana,Thriller
594,Jenny  Martin,female,August 19 2011,1959,Portugal,Young Adult
595,Tony Kushner,male,September 3 2009,1966,Japan,Fiction
596,Jennifer Salvato Doktorski,female,December 1 2015,1985,El Salvador,Young Adult
597,Amy Sohn,female,December 20 2010,1960,Bangladesh,Fiction
598,Mindee Arnett,male,March 7 2014,1969,Cameroon,Young Adult
599,Tessa Bailey,male,April 8 2018,1992,Turkmenistan,Romance
600,Janette Rallison,female,September 21 2019,1951,Welsh,Romance
601,T.E. Carter,female,July 23 2015,1973,Georgia,Contemporary
602,Shelly Crane,female,February 26 2014,1981,Vanuatu,Young Adult
603,Natasha Madison,female,February 18 2018,1955,Burundi,Romance
604,Lily  White,female,April 18 2009,1962,Samoa,Science Fiction
605,Heidi R. Kling,female,August 21 2011,1961,Iceland,Science Fiction$Thriller
606,Steve Kluger,male,November 5 2015,1960,Ecuador,Fiction$Gay Lesbian
607,Katherine Paterson,female,July 2 2017,1988,Chile,Children S Books
608,Joel T. McGrath,male,October 9 2011,1980,Tunisia,Children S Books$Young Adult
609,Zachary Karabell,male,March 23 2009,1961,Liechtenstein,History
610,Kirsty Moseley,male,February 17 2015,1958,Mexico,Young Adult
611,Serena Yates,male,July 9 2018,1993,San Marino,Gay
612,Louise L. Hay,female,October 6 2017,1992,Herzegovina,Religion Spirituality$Women Gender Studies
613,Moïra Fowley-Doyle,female,February 18 2009,1987,Wales,Young Adult
614,Steven Wolff,male,February 23 2012,1994,Kenya,Paranormal
615,Heather Burch,male,September 1 2012,1995,Peru,Contemporary
616,Jack L. Chalker,male,December 22 2010,1963,Sao Tome,Science Fiction
617,Ruth  Silver,female,June 15 2013,1993,Lithuania,Young Adult
618,Jana Oliver,female,February 13 2007,1975,Nigeria,Young Adult
619,Bee Wilson,female,July 9 2016,1999,Armenia,Fiction$History
620,J. Bartell,male,February 27 2010,1983,Russia,Memoir
621,Durgesh Satpathy,male,July 10 2007,1971,Swaziland,Self Help
622,Robert Munsch,male,December 21 2011,1971,Libya,Children S
623,Seth Godin,male,September 14 2017,1967,Cyprus,Business
624,Jeff Somers,male,September 23 2007,1986,Burundi,Fantasy
625,Chad Harbach,male,March 15 2016,1986,Mauritius,Fiction
626,A.J.  Walters,female,November 3 2015,1981,Kenya,Contemporary
627,Adam Lewis Walker,male,December 27 2012,1957,Maldives,Fiction
628,Yasunari Kawabata,male,December 23 2018,1983,Cape Verde,Fiction$Short Stories
629,Jessica  Keller,female,April 26 2013,1964,Belgium,Romance
630,Simone Elkeles,female,August 3 2012,1992,St Lucia,Young Adult
631,Nancy Werlin,male,November 21 2017,1953,Honduras,Fiction$Thriller
632,James Joyce,male,May 18 2018,1972,Liechtenstein,Science Fiction$Poetry
633,Ellie R. Hunter,female,February 1 2012,1998,Algeria,Romance
634,Beth Williamson,female,April 6 2013,1990,Tonga,Romance
635,Patrick Lencioni,male,August 1 2015,1962,Sierra Leone,Business
636,Laura Miller,female,November 2 2016,1975,Zambia,Science Fiction
637,S.M. Reine,male,January 21 2011,1966,Russia,Science Fiction
638,Claudia Gabel,male,July 8 2018,1996,Latvia,Young Adult$Fantasy
639,John William Polidori,male,October 16 2017,1996,Russia,Fiction$Horror
640,Amy Spalding,female,October 20 2007,1965,Sudan,Young Adult
641,Jenna Jameson,female,July 2 2011,1995,Brunei,Biographies Memoirs
642,Clare Harvey,male,August 22 2017,1986,Mali,Historical
643,Norton Juster,male,January 11 2019,1964,Yemen,Children S Books
644,Julie Campbell,female,May 26 2018,1972,Lesotho,Thriller$Young Adult
645,Laurie Faria Stolarz,female,November 18 2008,1985,Luxembourg,Romance
646,Jorie Graham,female,April 26 2008,1953,Tanzania,Poetry
647,David        Cook,male,November 5 2011,1999,Wales,Historical
648,Michelle Modesto,female,April 15 2011,1966,Botswana,Young Adult
649,L.M. Montgomery,female,December 19 2016,1971,Samoa,Children S Books$Fiction
650,Luther Blissett,male,November 21 2014,1993,Belize,Fiction$Historical
651,Lenora Bell,female,July 7 2019,1983,Nepal,Romance
652,Stephen Hawking,male,April 13 2014,1956,France,Science Fiction$Fiction
653,Christopher Paul Curtis,male,December 1 2011,1985,Swaziland,Children S Books
654,Melvin Burgess,male,May 22 2007,1983,Maldives,Fiction$Children S Books
655,Ruby Dixon,female,February 3 2016,1972,Austria,Romance$Science Fiction
656,Victor LaValle,male,November 7 2017,1972,Slovenia,Fiction
657,Samantha Towle,female,November 19 2019,1980,Morocco,Romance
658,Sona Charaipotra,female,February 1 2008,1979,Kuwait,Young Adult
659,Joe Craig,male,May 27 2015,1969,Sao Tome,Children S
660,J.L. Merrow,female,December 26 2017,1987,Liechtenstein,Gay Lesbian
661,Kimberly Kincaid,female,May 20 2014,1978,St Kitts,Contemporary
662,Sharon Lee,female,July 16 2016,1977,Bulgaria,Science Fiction$Thriller
663,Georgette Heyer,female,August 3 2011,1989,Bahamas,Romance$Historical$Thriller
664,Sara Gruen,female,June 27 2017,1973,Kosovo,Historical
665,Cynthia  Wright,female,December 22 2008,1997,Turkmenistan,Historical
666,Peter Robinson,male,March 17 2016,1982,New Zealand,Thriller
667,Tessa Dare,female,October 28 2009,1968,Mauritania,Romance
668,Stacey  Lee,female,August 16 2017,1964,Afghanistan,Young Adult
669,AdriAnne Strickland,female,January 15 2018,1984,USA,Young Adult
670,Leonie Swann,male,January 27 2010,1976,Costa Rica,Mystery
671,Kristen Ashley,female,November 17 2010,1985,Solomon,Romance$Humor
672,Jacob Z. Flores,male,August 7 2012,1978,Djibouti,Gay And Lesbian
673,Robert Fisk,male,July 9 2014,1978,Guyana,Nonfiction
674,D.B. Reynolds,male,September 13 2008,1991,Antigua,Paranormal$Romance
675,J.R. Rain,male,July 26 2008,1972,Vanuatu,Paranormal
676,Maryrose Wood,male,February 23 2009,1956,Sudan,Children S
677,Jonathan Safran Foer,male,April 7 2009,1986,Austria,Science Fiction
678,Martina Riemer,male,December 28 2018,1999,Comoros,Romance
679,Mark Shearman,male,January 19 2013,1959,Serbia,Science Fiction
680,Katherine Arden,female,November 9 2010,1981,Antigua,Fantasy
681,Savannah Brown,female,May 8 2017,1992,Jordan,Young Adult
682,Elizabeth Haynes,female,December 13 2008,1986,Honduras,Fiction$Mystery
683,Sophie Hannah,female,February 20 2016,1978,Slovakia,Crime
684,Caleb Carr,male,January 27 2008,1983,Israel,Science Fiction$Nonfiction
685,Madhur Jaffrey,female,June 25 2014,1951,Kosovo,Cooking Food Wine$Biographies Memoirs
686,Danika Dinsmore,female,June 11 2017,1964,Burkina,Young Adult
687,Hunter S. Thompson,male,October 3 2011,1984,Bahrain,Nonfiction$Entertainment$Gonzo Journalism
688,Lisa Desrochers,female,July 15 2018,1996,British,New Adult
689,Mary Wollstonecraft Shelley,female,August 15 2018,1995,Sweden,Fiction$Horror$Science Fiction
690,Katie Kacvinsky,male,July 1 2007,1978,Morocco,Young Adult
691,Quinn Loftis,female,December 19 2017,1964,Vatican,Romance
692,Emery Lord,male,January 20 2015,1962,Bahrain,Young Adult$Contemporary
693,Julia Karr,male,September 25 2012,1971,Slovakia,Young Adult$Science Fiction
694,Kate  McIntyre,female,September 20 2010,1979,St Kitts,Fantasy
695,Allison Pataki,male,March 13 2018,1988,Germany,Historical
696,Wendy Owens,female,March 7 2014,1976,Cyprus,Romance
697,Paul Andrulis,male,February 24 2009,1958,Paraguay,Action Adventure
698,Sherry Gammon,female,June 4 2013,1990,India,Young Adult
699,Sam Kean,male,September 11 2016,1960,Barbados,Nonfiction$Science Fiction
700,P.B. Kerr,male,July 12 2017,1959,Chad,Children S Books$Science Fiction
701,Lisa Napoli,female,November 6 2009,1996,Jordan,Memoir
702,Gary R. Henry,male,February 19 2016,1970,Welsh,Fantasy
703,Louise Rennison,male,January 7 2012,1965,Vietnam,Young Adult$Fiction
704,D.H. Starr,male,August 25 2019,1989,Czech,Gay Lesbian$Science Fiction
705,Jussi Adler-Olsen,male,April 24 2016,1961,Emirate,Thriller
706,Miralee Ferrell,female,November 27 2008,1999,America,Historical
707,Rebecca Schaeffer,female,March 14 2014,1988,Great Britain,Fantasy
708,Masamune Shirow,male,April 3 2018,1961,Belize,Manga$Science Fiction
709,Alexis  Hall,male,November 26 2008,1999,Togo,Gay And Lesbian
710,Julia Justiss,female,August 26 2012,1965,Central African Republic,Romance
711,Nancy Thayer,female,November 2 2016,1964,Nigeria,Fiction$Women Gender Studies
712,Reed Farrel Coleman,male,March 10 2013,1954,Chad,Thriller
713,Siri Mitchell,female,May 19 2018,1964,Solomon,Christian Fiction
714,Katsuhiro Otomo,male,May 14 2008,1984,Ecuador,Comics Graphic Novels
715,Andy McDermott,male,November 11 2009,1989,Greece,Thriller
716,Karin Fossum,female,August 11 2016,1953,Kosovo,Thriller
717,Sei Shōnagon,male,November 14 2009,1997,Israel,Poetry$Short Stories
718,Julia Donaldson,male,October 4 2011,1999,Peru,Children S Books
719,Erin Nicholas,female,October 10 2014,1989,Australia,Romance
720,Ginny Bryce,male,December 28 2007,1959,Vietnam,Historical
721,Tom   Reynolds,male,April 4 2015,1979,Japan,Young Adult
722,John Shelton Jones,male,October 8 2013,1967,Chile,Fiction
723,Rachael Slate,female,March 21 2015,1951,Indonesia,Romance
724,Farahad Zama,male,December 1 2016,1986,Canada,Fiction
725,Sandra Brown,female,December 16 2010,1950,Chad,Thriller
726,Stephanie Rowe,female,November 4 2007,1956,Ireland,Romance
727,Ronie Kendig,female,April 26 2009,1997,Panama,Christian Fiction
728,Claire Legrand,female,November 17 2015,1956,Algeria,Science Fiction
729,L.B. Simmons,female,May 25 2017,1982,Indonesia,Chick Lit
730,J. Sheridan Le Fanu,male,January 13 2011,1991,Sudan,Fiction$Horror$Short Stories
731,Andrea Hirata,male,June 28 2017,1966,Senegal,Fiction
732,Tanya Holmes,male,July 24 2017,1965,Yemen,Romance$Paranormal
733,W.J. Lundy,male,June 3 2008,1966,Argentina,Horror$Science Fiction
734,W. Bruce Cameron,female,February 15 2014,1979,Belgium,Fiction$Humor
735,John Keegan,male,May 1 2012,1982,Rwanda,History$Biographies Memoirs
736,Stephanie Bond,female,September 8 2016,1959,Guatemala,Romance
737,Kristin D. Van Risseghem,female,October 18 2017,1980,South Africa,Fantasy
738,Kate Elliott,female,August 6 2007,1976,Sweden,Science Fiction
739,Dan Ariely,male,September 12 2019,1953,Welsh,Science
740,Eleanor Estes,female,January 7 2019,1962,Switzerland,Children S Books
741,Samantha Schutz,male,July 25 2012,1953,Madagascar,Young Adult$Biographies Memoirs
742,Jake Malden,male,May 22 2008,1952,Tuvalu,Ebooks$Romance
743,Bec Botefuhr,male,January 8 2015,1987,Djibouti,Science Fiction
744,Victor J. Banis,male,December 28 2014,1983,France,Gay Lesbian
745,Jodi Thomas,male,May 18 2011,1964,Moldova,Historical$Romance
746,Anthony Doerr,male,February 11 2016,1954,Vanuatu,Fiction$Nonfiction
747,K.C. Neal,female,November 21 2011,1982,Bahrain,Young Adult
748,Lauren Weisberger,female,April 16 2015,1986,Japan,Fiction
749,D.L. Bogdan,male,October 15 2010,1978,Marshall,Historical
750,Kelly Favor,female,September 24 2012,1953,Philippines,Romance
751,Tammara Webber,male,September 10 2018,1958,Sweden,Romance
752,Elizabeth Gilbert,female,October 18 2011,1953,Eritrea,Memoir
753,Lorraine Heath,female,December 18 2013,1973,Wales,Romance
754,Suzanne Collins,female,March 23 2016,1950,Marshall,Science Fiction$Science Fiction
755,Robert Rite,male,May 2 2012,1990,Mozambique,Religion
756,Sakurako Gokurakuin,female,September 12 2008,1973,San Marino,Manga$Yaoi
757,K.I. Lynn,female,April 1 2019,1995,Malawi,Romance
758,Shane K.P. O'Neill,male,May 6 2016,1977,Bulgaria,Horror
759,Dava Sobel,female,December 22 2014,1975,Latvia,Nonfiction$History
760,Mario  Giordano,male,August 18 2008,1982,Tuvalu,Thriller
761,Alan Walsh,male,March 8 2008,1976,Germany,Science Fiction
762,Shannon Hale,male,August 28 2014,1998,New Zealand,Young Adult$Fiction
763,Susan Meissner,female,May 12 2019,1982,Iraq,Fiction
764,James Daugherty,male,October 1 2013,1966,Cameroon,Children S$Historical
765,S.R. Watson,female,August 22 2015,1977,Portugal,Romance
766,William  Boyd,male,February 13 2012,1984,Guinea,Fiction
767,Marie Kondō,male,April 22 2019,1978,Brunei,Self Help$Fiction
768,Jet Mykles,male,November 28 2010,1989,Suriname,Romance
769,Sara Walsh,male,November 18 2015,1972,Botswana,Science Fiction
770,Elizabeth Gray Vining,female,March 18 2016,1982,Estonia,Children S Books$Nonfiction
771,Azar Nafisi,male,January 1 2017,1956,Angola,Nonfiction
772,Lesley Livingston,male,October 26 2017,1959,Bosnia,Young Adult$Science Fiction$Historical
773,L.L. Collins,female,May 23 2019,1984,Poland,Science Fiction
774,Erasmus,male,June 26 2009,1992,Liberia,Catholicism$Philosophy
775,Jennifer Probst,female,February 8 2014,1950,Marshall,Romance
776,Bernice Rubens,female,January 3 2011,1973,Bosnia,Fiction
